salesid,theater_count,international,domestic
1102,5,67956,1060512
1103,13,66686829,90135191
1104,10,,64950
1105,,,147235
1106,3225,7644471,37667746
1107,1520,3660724,10199354
1108,2564,86000000,35327628
1109,1,,31481
1110,,,66235
1111,2,,181798
1112,6,1042589,2528664
1113,13,,69886
1114,2815,17897223,49440996
1115,3,1601895,1302242
1116,3016,27395664,80571655
1117,472,7868156,1569918
1118,6,18976191,4717455
1119,1798,7000793,4426297
1120,2,165061521,85336277
1121,6,8784561,1266955
1122,3074,959890,52333738
1123,3505,45199918,110000082
1124,5,188291,336456
1125,2,86797,54389
1126,8,1248627,2207975
1127,3,,6869
1128,160,13998160,5381227
1129,3502,288029350,139270910
1130,,,153859
1131,27,83880,155500
1132,3337,46812848,175531840
1133,,,14876
1134,3,,31046
1135,576,187199709,59472278
1136,2,801436,2822522
1137,1,,678
1138,16,,80776
1139,1,,52949
1140,2903,33589842,20950820
1141,3101,118985751,93926386
1142,2756,11353097,26900336
1143,8,43418924,16248701
1144,,,9377
1145,2382,81896744,59588068
1146,2005,17086703,60060328
1147,11,9843255,15539656
1148,11,2839883,8291572
1149,3122,79932634,75817994
1150,2787,7222445,19480739
1151,7,2372,40112
1152,1,,10445
1153,,,
1154,1942,32374509,30272254
1155,2908,345700000,111110575
1156,1,,66988
1157,6,57521456,66432867
1158,3,,48079
1159,7,31519226,11634362
1160,1844,39846,21897389
1161,,,
1162,2677,142000000,124685242
1163,7,779427,765637
1164,3703,742368141,377845905
1165,24,62063000,31011616
1166,2,3149301,13005485
1167,2677,77402069,63803100
1168,8,12458,77755
1169,4,29731111,34469210
1170,3298,51597569,138614544
1171,2163,69541295,95632614
1172,2762,45030476,53789313
1173,2813,46837635,48417850
1174,11,1112021,2281585
1175,5,4000000,647054
1176,1,81488,104533
1177,3,32981,85992
1178,2400,102461,12189514
1179,1447,639,17321573
1180,2984,84970903,88073507
1181,1,,8806
1182,8,480540,366566
1183,2463,25000000,21176322
1184,2,,79766
1185,2605,37713913,57924679
1186,2711,609731,16980098
1187,2,,18752
1188,,32590,833118
1189,2304,154721,6471394
1190,2208,,10387706
1191,1933,10745361,40066497
1192,2711,772000,65070412
1193,2847,255815,16703799
1194,2605,96612,64378093
1195,,844148,1127331
1196,5,12775651,2531462
1197,1,,110536
1198,3,5452134,501752
1199,3591,75543497,120776832
1200,,,6028
1201,1,,131451
1202,,17912,72527
1203,1,,182839
1204,1601,548361,5881504
1205,471,333072,2922354
1206,2503,3787786,29331068
1207,8,2057032,349315
1208,2868,25342,14469428
1209,3043,251530705,370782930
1210,1,,48493
1211,1807,2571896,5001655
1212,,,
1213,2,,251862
1214,1,,2517
1215,2703,14924798,25195050
1216,3063,40800000,67286731
1217,1,168677,63768
1218,3185,82000000,88200225
1219,5,,256620
1220,2973,5188836,23514247
1221,2,,96293
1222,,,25315
1223,68,649121,21550235
